flight_id,flight_number,airline,aircraft_model,origin_airport_id,origin_airport_code_x,origin_city_x,origin_country_x,destination_airport_id,destination_airport_code_x,destination_city_x,destination_country_x,distance_km,estimated_flight_time_hours,ticket_cost_usd,fuel_used_liters,reliability_score,departure_datetime,arrival_datetime,departure_hour,arrival_hour,day,month,year,flight_status,weather_condition,passenger_capacity,occupied_seats,cargo_weight_kg,delay_minutes,gate_number,terminal,origin_airport_code_y,origin_airport_name,origin_city_y,origin_country_y,origin_airport_type,origin_latitude,origin_longitude,origin_elevation_meters,origin_runways,origin_timezone,destination_airport_code_y,destination_airport_name,destination_city_y,destination_country_y,destination_airport_type,destination_latitude,destination_longitude,destination_elevation_meters,destination_runways,destination_timezone
1,UA9826,Qatar Airways,Airbus A320,1802,AP1802,Woodsside,Chile,2510,AP2510,New Lynnfort,Netherlands,13628.05,16.13,1896.4,39637.09,0.76,2024-05-11 09:47:14,2024-05-12 01:55:02,9,1,11,5,2024,On Time,Storm,201,84,26440.44,146,G40,T3,AP1802,"Thompson, Allen and Smith Airport",Woodsside,Chile,International,-7.584128,57.57325,4362,1,UTC+8,AP2510,"Dickson, Powers and Sanders Airport",New Lynnfort,Netherlands,National,-5.648428,-178.457393,1877,1,UTC-4
2,SK8650,Aeromexico,Boeing 777,587,AP0587,Singhshire,United States,1556,AP1556,Norristown,Japan,15671.02,17.85,1568.55,52954.05,0.94,2024-08-14 23:31:50,2024-08-15 17:22:50,23,17,14,8,2024,Cancelled,Foggy,179,251,10993.8,152,G33,T3,AP0587,Chambers-Robertson Airport,Singhshire,United States,International,1.506654,-104.622347,1381,5,UTC+9,AP1556,Nelson and Sons Airport,Norristown,Japan,National,-29.510171,46.728238,3239,2,UTC+1
3,SK8532,Sky Airline,Airbus A330,1572,AP1572,South Michaelberg,Germany,1234,AP1234,Lauraton,Japan,17422.85,21.25,2975.72,83594.37,0.85,2026-04-21 05:16:27,2026-04-22 02:31:27,5,2,21,4,2026,On Time,Rainy,345,82,7183.3,197,G10,T1,AP1572,"Phelps, Ramos and Green Airport",South Michaelberg,Germany,International,-1.42145,-59.456137,1485,6,UTC+1,AP1234,Robinson and Sons Airport,Lauraton,Japan,National,-4.793641,98.054151,3555,1,UTC+1
4,IB6707,Iberia,Boeing 787,1924,AP1924,Heidiside,China,1278,AP1278,South Tracey,Colombia,7880.9,10.29,1413.1,27558.49,0.79,2025-03-26 23:39:48,2025-03-27 09:57:12,23,9,26,3,2025,On Time,Storm,221,149,29153.79,200,G47,T4,AP1924,Wright-Summers Airport,Heidiside,China,International,21.615062,76.791763,1449,2,UTC-5,AP1278,"Spence, Oconnell and Orozco Airport",South Tracey,Colombia,National,-44.511456,48.887638,1666,2,UTC+0
5,AA6992,Turkish Airlines,Airbus A320,2588,AP2588,Jamesside,Chile,2108,AP2108,Emilyfort,Australia,2591.13,3.39,332.52,10551.22,0.96,2025-04-01 18:03:40,2025-04-01 21:27:04,18,21,1,4,2025,Delayed,Rainy,349,262,2128.62,109,G58,T2,AP2588,"Butler, Garcia and Smith Airport",Jamesside,Chile,Regional,-38.18562,-137.564557,1672,3,UTC+8,AP2108,Davis LLC Airport,Emilyfort,Australia,Regional,-48.997696,-108.757385,1492,1,UTC-4
6,DL8979,Turkish Airlines,Airbus A350,2478,AP2478,Davisside,Canada,2430,AP2430,Meyerberg,Colombia,10969.29,12.91,2239.19,45455.21,0.99,2025-01-09 19:33:00,2025-01-10 08:27:36,19,8,9,1,2025,Cancelled,Rainy,160,202,24205.86,97,G39,T4,AP2478,"George, Thompson and Jackson Airport",Davisside,Canada,International,5.814995,179.207468,3246,5,UTC-4,AP2430,Hoffman Group Airport,Meyerberg,Colombia,National,-11.471244,-83.116209,2128,4,UTC-4
7,UA4633,American Airlines,Boeing 777,1812,AP1812,New Dawnville,Italy,2666,AP2666,Timothyton,Peru,4982.89,6.78,480.37,20532.38,0.83,2026-03-01 16:27:09,2026-03-01 23:13:57,16,23,1,3,2026,Delayed,Storm,241,220,3321.79,101,G21,T2,AP1812,Herrera-Gates Airport,New Dawnville,Italy,International,65.735687,-7.125152,1784,4,UTC-5,AP2666,"Keller, Brooks and Hanson Airport",Timothyton,Peru,Regional,69.42044,177.081875,1356,4,UTC+9
8,SK5560,Qatar Airways,Boeing 737,1994,AP1994,New Edwin,Canada,1284,AP1284,Gonzalesbury,Turkey,10027.62,11.88,1567.06,30567.36,0.95,2025-06-25 09:26:39,2025-06-25 21:19:27,9,21,25,6,2025,On Time,Storm,228,54,20316.39,153,G14,T2,AP1994,"Evans, Williams and Garcia Airport",New Edwin,Canada,National,1.437398,-11.743162,1277,5,UTC+3,AP1284,"Parsons, Luna and Cooper Airport",Gonzalesbury,Turkey,National,54.784912,-104.093937,4135,3,UTC+8
9,SK6455,United Airlines,Airbus A320,893,AP0893,Michellechester,Argentina,2115,AP2115,East Geraldton,Chile,5545.96,7.65,801.61,29688.22,0.99,2024-07-17 23:36:03,2024-07-18 07:15:03,23,7,17,7,2024,On Time,Rainy,221,267,20777.34,13,G23,T2,AP0893,Bishop PLC Airport,Michellechester,Argentina,Regional,69.873376,-30.94519,2734,3,UTC+3,AP2115,Lewis Inc Airport,East Geraldton,Chile,National,48.759744,-136.700012,2422,2,UTC+9
10,AA5263,KLM,Boeing 737,476,AP0476,East Regina,France,2591,AP2591,North Rachel,Brazil,14740.99,17.1,1885.46,37904.67,0.92,2024-11-16 07:12:11,2024-11-17 00:18:11,7,0,16,11,2024,Cancelled,Cloudy,70,82,20338.98,46,G57,T3,AP0476,Romero-Miller Airport,East Regina,France,National,21.537099,-160.189697,1438,1,UTC-5,AP2591,"Sheppard, Wang and Harris Airport",North Rachel,Brazil,International,-45.848372,-30.580978,3560,2,UTC+8
